date,open,high,low,close,volume
201011031600,312.22,313.15,312.08,313.08,1611548
201011031630,313.06,313.39,312.86,313.2,58368
201011040900,315.77,316.24,315.53,315.6,89437
201011040930,315.68,317.64,315.03,317.1,2659041
201011041000,317.1,317.57,316.1,316.82,2039001
201011041030,316.81,317.97,316.1,317.96,1815749
201011041100,317.97,320.18,317.1,319.12,4238890
201011041130,319.14,319.35,318.1,318.7,1390210
201011041200,318.71,320,317.1,318.38,1207093
201011041230,318.35,318.87,318,318.58,821111
201011041300,318.58,318.96,318.06,318.62,752538
201011041330,318.62,318.9,318.38,318.74,581756
201011041400,318.72,318.8,317.1,318.37,964625
201011041430,318.41,318.8,318.06,318.5,789400
201011041500,318.52,318.62,317.1,317.9,974539
201011041530,317.9,318.15,317,317.6,1607358
201011041600,317.59,318.34,316.1,317.85,2344512
201011041630,317.71,317.78,316.67,316.84,112630
201011050900,318.59,318.64,317.77,317.94,52501
201011050930,317.9,319.57,317.1,317.62,1846316
201011051000,317.61,318.97,317.1,318.45,1579694
201011051030,318.45,318.54,317.9,318.54,767380
201011051100,318.5,319.08,317.1,317.98,1070243
201011051130,317.96,318.37,317.1,317.79,558109
201011051200,317.8,318,317.1,317.83,575407
201011051230,317.81,318.22,317.1,317.96,437595
201011051300,318.01,318.5,317.1,318.4,395202
201011051330,318.4,318.6,318.3,318.45,331535
201011051400,318.37,318.37,317.1,317.9,389929
201011051430,317.9,318.06,317.1,317.95,761468
201011051500,317.98,318.17,317.1,317.66,484655
201011051530,317.64,317.89,317.16,317.16,812583
201011051600,317.01,317.88,316.1,317.24,1880922
201011051630,317.22,317.84,317.05,317.64,13633
201011080905,317.67,317.95,317.46,317.81,25857
201011080935,317.8,319.24,316.76,318.21,1697030
201011081005,318.26,319.43,317.1,319.23,1434587
201011081035,319.23,319.77,318.1,319.56,901647
201011081105,319.57,319.57,318.1,318.85,650939
201011081135,318.86,319.15,318.1,318.91,266146
201011081205,318.88,319.01,318.1,318.96,213166
201011081235,318.96,319.25,318.1,319.02,344882
201011081305,319.03,319.19,318.1,318.1,225284
201011081335,318.98,319.25,318.1,318.87,347307
201011081405,318.89,319.07,318.1,319.03,222938
201011081435,319.01,319.05,318.1,318.81,265305
201011081505,318.77,318.86,318.54,318.78,340535
201011081535,318.81,319.45,318.1,319.05,782138
201011081605,319.08,319.15,318.35,318.76,1402255
